date,XAU=,CLc1,LCOc1,GBP=,XLK,.IXTTR,XLE,.IXE,.RUT
4/17/1980 12:00:00 AM,513,,,2.2292,,,,,
4/18/1980 12:00:00 AM,515.6,,,2.2287,,,,,
4/19/1980 12:00:00 AM,0,,,,,,,,
4/20/1980 12:00:00 AM,0,,,,,,,,
4/21/1980 12:00:00 AM,506,,,2.2321,,,,,
4/22/1980 12:00:00 AM,506,,,2.2376,,,,,
4/23/1980 12:00:00 AM,506.5,,,2.2584,,,,,
4/24/1980 12:00:00 AM,515.7,,,2.2671,,,,,
4/25/1980 12:00:00 AM,551.5,,,2.2779,,,,,
4/26/1980 12:00:00 AM,0,,,,,,,,
4/27/1980 12:00:00 AM,0,,,,,,,,
4/28/1980 12:00:00 AM,524.25,,,2.2868,,,,,
4/29/1980 12:00:00 AM,513.75,,,2.2732,,,,,
4/30/1980 12:00:00 AM,518,,,2.2548,,,,,
5/1/1980 12:00:00 AM,490,,,2.2619,,,,,
5/2/1980 12:00:00 AM,512.5,,,2.263,,,,,
5/3/1980 12:00:00 AM,0,,,,,,,,
5/4/1980 12:00:00 AM,0,,,,,,,,
5/5/1980 12:00:00 AM,515,,,0,,,,,
5/6/1980 12:00:00 AM,512.5,,,2.2862,,,,,
5/7/1980 12:00:00 AM,512.5,,,2.2815,,,,,
5/8/1980 12:00:00 AM,515.75,,,2.2841,,,,,
5/9/1980 12:00:00 AM,508.25,,,2.2701,,,,,
5/10/1980 12:00:00 AM,0,,,,,,,,
5/11/1980 12:00:00 AM,0,,,,,,,,
5/12/1980 12:00:00 AM,513.25,,,2.2815,,,,,
5/13/1980 12:00:00 AM,512,,,2.2815,,,,,
5/14/1980 12:00:00 AM,525,,,2.2889,,,,,
5/15/1980 12:00:00 AM,517,,,2.3026,,,,,
5/16/1980 12:00:00 AM,516.5,,,2.2857,,,,,
5/17/1980 12:00:00 AM,0,,,,,,,,
5/18/1980 12:00:00 AM,0,,,,,,,,
5/19/1980 12:00:00 AM,514.25,,,2.2852,,,,,
5/20/1980 12:00:00 AM,507.75,,,2.2915,,,,,
5/21/1980 12:00:00 AM,513.5,,,2.3267,,,,,
5/22/1980 12:00:00 AM,513.5,,,2.3267,,,,,
5/23/1980 12:00:00 AM,511.25,,,2.3447,,,,,
5/24/1980 12:00:00 AM,0,,,,,,,,
5/25/1980 12:00:00 AM,0,,,,,,,,
5/26/1980 12:00:00 AM,511.25,,,0,,,,,
5/27/1980 12:00:00 AM,514.8,,,2.3685,,,,,
5/28/1980 12:00:00 AM,526.5,,,2.3563,,,,,
5/29/1980 12:00:00 AM,519.6,,,2.3485,,,,,
5/30/1980 12:00:00 AM,535.5,,,2.3452,,,,,
5/31/1980 12:00:00 AM,0,,,,,,,,
6/1/1980 12:00:00 AM,0,,,,,,,,
6/2/1980 12:00:00 AM,561.5,,,2.3392,,,,,
6/3/1980 12:00:00 AM,552.5,,,2.2989,,,,,
6/4/1980 12:00:00 AM,571.5,,,2.3207,,,,,
6/5/1980 12:00:00 AM,581.75,,,2.3305,,,,,
6/6/1980 12:00:00 AM,581.75,,,2.331,,,,,
6/7/1980 12:00:00 AM,0,,,,,,,,
6/8/1980 12:00:00 AM,0,,,,,,,,
6/9/1980 12:00:00 AM,623.75,,,2.3502,,,,,
6/10/1980 12:00:00 AM,604,,,2.3337,,,,,
6/11/1980 12:00:00 AM,596,,,2.3348,,,,,
6/12/1980 12:00:00 AM,590,,,2.3381,,,,,
6/13/1980 12:00:00 AM,608.4,,,2.3425,,,,,
6/14/1980 12:00:00 AM,0,,,,,,,,
6/15/1980 12:00:00 AM,0,,,,,,,,
6/16/1980 12:00:00 AM,590,,,2.3458,,,,,
6/17/1980 12:00:00 AM,591.75,,,2.3305,,,,,
6/18/1980 12:00:00 AM,602.5,,,2.3315,,,,,
6/19/1980 12:00:00 AM,599,,,2.3294,,,,,
6/20/1980 12:00:00 AM,602.5,,,2.3381,,,,,
6/21/1980 12:00:00 AM,0,,,,,,,,
6/22/1980 12:00:00 AM,0,,,,,,,,
6/23/1980 12:00:00 AM,602.5,,,2.3392,,,,,
6/24/1980 12:00:00 AM,603,,,2.3359,,,,,
6/25/1980 12:00:00 AM,622.5,,,2.3348,,,,,
6/26/1980 12:00:00 AM,624.5,,,2.3425,,,,,
6/27/1980 12:00:00 AM,637.5,,,2.3496,,,,,
6/28/1980 12:00:00 AM,0,,,,,,,,
6/29/1980 12:00:00 AM,0,,,,,,,,
6/30/1980 12:00:00 AM,653.5,,,2.3568,,,,,
7/1/1980 12:00:00 AM,660,,,2.3602,,,,,
7/2/1980 12:00:00 AM,661.5,,,2.3607,,,,,
7/3/1980 12:00:00 AM,663.5,,,2.3458,,,,,
7/4/1980 12:00:00 AM,663.5,,,2.354,,,,,
7/5/1980 12:00:00 AM,0,,,,,,,,
7/6/1980 12:00:00 AM,0,,,,,,,,
7/7/1980 12:00:00 AM,667.5,,,2.373,,,,,
7/8/1980 12:00:00 AM,687.5,,,2.3764,,,,,
7/9/1980 12:00:00 AM,671,,,2.3747,,,,,
7/10/1980 12:00:00 AM,656.5,,,2.3742,,,,,
7/11/1980 12:00:00 AM,666.7,,,2.3776,,,,,
7/12/1980 12:00:00 AM,0,,,,,,,,
7/13/1980 12:00:00 AM,0,,,,,,,,
7/14/1980 12:00:00 AM,650,,,2.3742,,,,,
7/15/1980 12:00:00 AM,619.5,,,2.3736,,,,,
7/16/1980 12:00:00 AM,624.75,,,2.3725,,,,,
7/17/1980 12:00:00 AM,627.25,,,2.3793,,,,,
7/18/1980 12:00:00 AM,606,,,2.3736,,,,,
7/19/1980 12:00:00 AM,0,,,,,,,,
7/20/1980 12:00:00 AM,0,,,,,,,,
7/21/1980 12:00:00 AM,617.5,,,2.3793,,,,,
7/22/1980 12:00:00 AM,613,,,2.3844,,,,,
7/23/1980 12:00:00 AM,631.25,,,2.3844,,,,,
7/24/1980 12:00:00 AM,643,,,2.3987,,,,,
7/25/1980 12:00:00 AM,651.75,,,2.3929,,,,,
7/26/1980 12:00:00 AM,0,,,,,,,,
7/27/1980 12:00:00 AM,0,,,,,,,,
7/28/1980 12:00:00 AM,643.5,,,2.3872,,,,,
7/29/1980 12:00:00 AM,646.75,,,2.3742,,,,,
7/30/1980 12:00:00 AM,629,,,2.359,,,,,
7/31/1980 12:00:00 AM,614.25,,,2.3441,,,,,
8/1/1980 12:00:00 AM,622,,,2.3337,,,,,
8/2/1980 12:00:00 AM,0,,,,,,,,
8/3/1980 12:00:00 AM,0,,,,,,,,
8/4/1980 12:00:00 AM,630.75,,,2.3414,,,,,
8/5/1980 12:00:00 AM,630.5,,,2.3557,,,,,
8/6/1980 12:00:00 AM,627.75,,,2.3736,,,,,
8/7/1980 12:00:00 AM,629.5,,,2.3674,,,,,
8/8/1980 12:00:00 AM,630,,,2.373,,,,,
8/9/1980 12:00:00 AM,0,,,,,,,,
8/10/1980 12:00:00 AM,0,,,,,,,,
8/11/1980 12:00:00 AM,617,,,2.3719,,,,,
8/12/1980 12:00:00 AM,605,,,2.3725,,,,,
8/13/1980 12:00:00 AM,615.25,,,2.3793,,,,,
8/14/1980 12:00:00 AM,626,,,2.3759,,,,,
8/15/1980 12:00:00 AM,624.5,,,2.377,,,,,
8/16/1980 12:00:00 AM,0,,,,,,,,
8/17/1980 12:00:00 AM,0,,,,,,,,
8/18/1980 12:00:00 AM,612.5,,,2.3685,,,,,
8/19/1980 12:00:00 AM,624,,,2.3613,,,,,
8/20/1980 12:00:00 AM,634.75,,,2.3669,,,,,
8/21/1980 12:00:00 AM,645.25,,,2.3697,,,,,
8/22/1980 12:00:00 AM,639.2,,,2.368,,,,,
8/23/1980 12:00:00 AM,0,,,,,,,,
8/24/1980 12:00:00 AM,0,,,,,,,,
8/25/1980 12:00:00 AM,634.75,,,0,,,,,
8/26/1980 12:00:00 AM,628.85,,,2.3781,,,,,
8/27/1980 12:00:00 AM,633.85,,,2.3923,,,,,
8/28/1980 12:00:00 AM,635.3,,,2.3901,,,,,
8/29/1980 12:00:00 AM,631.25,,,2.3941,,,,,
8/30/1980 12:00:00 AM,0,,,,,,,,
8/31/1980 12:00:00 AM,0,,,,,,,,
9/1/1980 12:00:00 AM,631.25,,,2.4102,,,,,
9/2/1980 12:00:00 AM,640,,,2.4172,,,,,
9/3/1980 12:00:00 AM,636.75,,,2.4155,,,,,
9/4/1980 12:00:00 AM,647.25,,,2.4201,,,,,
9/5/1980 12:00:00 AM,651,,,2.4155,,,,,
9/6/1980 12:00:00 AM,0,,,,,,,,
9/7/1980 12:00:00 AM,0,,,,,,,,
9/8/1980 12:00:00 AM,672,,,2.419,,,,,
9/9/1980 12:00:00 AM,670.5,,,2.401,,,,,
9/10/1980 12:00:00 AM,686.5,,,2.4015,,,,,
9/11/1980 12:00:00 AM,674,,,2.4131,,,,,
9/12/1980 12:00:00 AM,685.5,,,2.4137,,,,,
9/13/1980 12:00:00 AM,0,,,,,,,,
9/14/1980 12:00:00 AM,0,,,,,,,,
9/15/1980 12:00:00 AM,666.5,,,2.3923,,,,,
9/16/1980 12:00:00 AM,668,,,2.3889,,,,,
9/17/1980 12:00:00 AM,673,,,2.3895,,,,,
9/18/1980 12:00:00 AM,672.25,,,2.3844,,,,,
9/19/1980 12:00:00 AM,674,,,2.3855,,,,,
9/20/1980 12:00:00 AM,0,,,,,,,,
9/21/1980 12:00:00 AM,0,,,,,,,,
9/22/1980 12:00:00 AM,710,,,2.4021,,,,,
9/23/1980 12:00:00 AM,711,,,2.4021,,,,,
9/24/1980 12:00:00 AM,710.5,,,2.4015,,,,,
9/25/1980 12:00:00 AM,697.75,,,2.3987,,,,,
9/26/1980 12:00:00 AM,698.25,,,2.3946,,,,,
9/27/1980 12:00:00 AM,0,,,,,,,,
9/28/1980 12:00:00 AM,0,,,,,,,,
9/29/1980 12:00:00 AM,679.25,,,2.3889,,,,,
9/30/1980 12:00:00 AM,666.75,,,2.3883,,,,,
10/1/1980 12:00:00 AM,682,,,2.3889,,,,,
